730,970,1140,1555
732,706,881,950
737,712,714,525
740,773,598,768
744,944,522,469
746,860,848,518
754,716,824,504
754,824,716,504
755,336,531,957
759,729,482,493
760,118068,221,2142
761,930,1144,305
765,1181,805,709
767,817,841,591
768,773,740,729
769,717,870,223
769,717,870,1107
771,520,355,1191
771,520,462,818
773,740,768,598
785,519,1146,1481
785,519,1481,1146
798,621,1146,468
800,855,838,859
802,900,675,1272
802,900,1272,1249
803,664,700,635
803,664,700,892
803,700,664,635
803,700,664,892
805,573,765,1307
809,631,118322,1599
810,606,1069,1096
810,606,1096,1069
813,510,316,1339
814,118114,117689,118051
817,767,841,1026
818,671,1141,771
819,446,1342,648
824,754,716,504
829,647,648,1531
836,860,1118,526
838,859,691,855
840,443,1265,1230
841,817,767,1026
848,940,874,518
852,971,956,728
855,838,859,800
857,951,1023,902
858,1123,882,1207
859,838,691,855
860,836,1118,746
865,357,698,1126
865,357,698,117749
865,357,117749,2812
870,769,1107,1169
873,1177,973,887
874,940,902,848
878,720,1046,724
880,1030,1049,634
880,1049,1030,634
881,950,706,732
881,950,706,928
881,950,732,706
881,950,732,928
881,950,928,706
881,950,928,732
882,619,858,652
882,619,858,659
882,858,619,652
882,858,619,659
886,919,659,652
887,973,1185,1161
892,803,700,664
893,932,983,646
900,802,675,1272
902,951,857,874
902,951,857,1023
902,951,874,857
902,951,874,1023
902,951,1023,857
902,951,1023,874
906,931,1033,803
909,710,1103,603
910,669,1176,1161
913,726,1225,1243
913,726,1243,1225
918,701,118257,118014
919,886,650,659
926,714,986,737
926,986,714,737
928,881,706,950
930,761,1144,1013
931,906,1033,803
932,893,983,1170
937,1071,1102,964
938,317,1292,446
938,1292,317,446
940,874,848,902
944,744,522,1101
944,744,1101,522
945,1039,641,1139
950,881,732,928
951,1023,857,902
954,1073,1103,909
956,971,852,728
957,302,142,755
957,302,142,1748
964,1046,1102,937
965,1268,1126,698
966,1058,1019,490
967,982,980,1372
969,989,1353,1377
970,1140,730,1314
971,956,852,1234
973,887,1185,1161
975,1031,1356,1560
980,1090,967,982
981,1202,697,1310
982,967,980,1372
983,1115,932,893
986,926,714,625
986,926,714,626
988,1011,1233,1008
988,1011,1233,1302
989,1193,969,1194
1007,8469,112355,115836
1007,112355,8469,115836
1008,1009,1011,1233
1009,1008,1011,1233
1011,1008,1009,988
1011,1008,1009,1233
1013,1069,1099,1144
1018,892,1153,700
1019,1058,1307,966
1023,951,857,902
1026,841,817,767
1030,1049,880,634
1031,1356,975,1114
1033,906,931,1120
1033,931,906,1120
1039,945,1139,641
1042,695,1063,1486
1042,1063,695,1486
1043,1075,1247,1352
1046,964,878,1102
1046,964,1102,878
1048,1211,689,1492
1049,1030,880,1333
1053,1158,1134,1141
1057,759,1427,729
1058,1019,966,1307
1058,1019,1307,966
1063,1486,1042,1354
1063,1486,1042,1466
1063,1486,1354,1042
1063,1486,1354,1466
1063,1486,1466,1042
1063,1486,1466,1354
1065,1115,1231,983
1066,456,567,1469
1066,567,456,1469
1066,567,1469,441
1067,704,1340,1427
1067,704,1427,1057
1069,1099,1096,1013
1071,937,1102,964
1072,1147,1331,724
1073,954,1103,1392
1074,3053,3114,117751
1075,1043,1247,1352
1076,1215,1133,1488
1076,1215,1133,1553
1086,1164,926,737
1090,980,1346,1372
1093,1302,988,1501
1096,1099,1069,810
1096,1099,1069,1013
1099,1069,1096,1013
1101,944,522,1476
1102,1071,964,937
1103,1286,909,1319
1107,1169,1325,870
1114,605,1031,445
1114,605,1031,1356
1115,1065,983,1231
1118,836,860,1259
1120,1033,906,1192
1120,1033,1192,906
1123,1207,858,882
1124,1150,1484,1296
1126,965,698,1268
1132,1269,1118,1526
1132,1269,1526,1118
1133,1076,1488,1215
1134,1053,1158,1230
1138,950,1195,1469
1139,1381,1039,1329
1140,970,1314,730
1141,1191,818,1158
1141,1191,1158,818
1143,1204,1357,859
1144,930,1013,761
1146,798,1481,621
1147,1072,1464,878
1150,1124,1484,1296
1153,1192,892,1424
1158,1053,1134,1141
1161,1185,1176,973
1164,1086,1445,926
1168,1429,1559,740
1168,1429,1559,1194
1169,1107,1325,1421
1170,1402,932,893
1176,1161,1185,910
1177,1318,873,1444
1177,1611,1803,1191
1181,1487,1551,765
1185,1161,1176,973
1191,1141,818,1562
1191,1141,1562,771
1191,1141,1562,818
1192,1033,931,1153
1192,1033,1153,931
1193,989,1194,1480
1194,1193,989,1168
1195,928,1610,1694
1195,950,928,881
1202,1310,1417,981
1202,1310,1417,1329
1204,1143,1357,859
1204,1143,1357,1519
1207,1123,858,882
1207,1123,858,1657
1208,1367,1493,882
1211,1048,1492,689
1215,1076,1133,1553
1225,1243,913,726
1230,1265,1134,840
1230,1265,1134,1573
1231,1065,1115,1565
1233,1011,1434,1008
1233,1011,1434,1302
1234,971,956,852
1236,1288,1330,1315
1243,1225,913,726
1245,1340,1439,704
1245,1340,1439,1677
1247,1043,1075,1352
1249,1602,1272,1628
1249,1602,1628,1272
1259,1428,1543,1550
1265,1230,840,1134
1265,1230,840,1755
1268,965,1838,596
1269,1132,1354,1466
1269,1132,1354,1526
1272,1455,900,1628
1272,1455,1628,900
1286,1319,1435,1103
1288,1236,1330,1315
1292,938,1425,317
1296,1484,2422,1124
1296,1484,2422,1150
1302,1501,1233,988
1302,1501,1233,1641
1306,1046,1102,964
1306,1046,1102,1570
1307,1382,1502,1019
1307,1382,1502,1058
1309,1647,372,2106
1310,1202,1417,981
1310,1202,1417,1329
1310,1202,1417,1357
1312,1419,1714,1707
1314,1140,970,612
1315,1330,1236,1288
